Question	Answer	Marks
what is software metrics Explain scope of software metrics in detail	Software metrics is a term that provides many activities, all of which involves some degree of software measurement:-  (i)Cost and effort estimation:-  -We have to use cost and effort estimation models to predict the cost of project during earlier phases of software development life cycle.  -for example Boehm’s Cocomo model, Putnam’s SLIM model,  Regression based model, etc.  (ii)Productivity models and measures:-  -There are several measures and models or assessing the staff productivity during software process and indifferent environments.  -The productivity is a function of value and cast; each is then decomposed into other aspects expressed in measurable form.  (iii)Data collection:-  -The quality or any measurement program is clearly dependent on careful data collection. But collecting data is easier to said than done when data must be collected across a diverse set of projects.  -Data collection must be consistent and complete. It must be planned and executed in a careful and sensitive manner.  -Data collection is also essential for scientific investigation of relationships and trends.  (iv)Quality Models and measures:-  -Quality models such as Bohem’s quality model and MaCall quality model are used with productivity models.  -These models are constructed in a tree like fashion where upper branches holds high level quality factors of software product such as reliability, usability, etc.  -Each quality factor is composed of low level criteria such as structure, traceability, etc.  -Criteria is easier to understand and measure than factors.  (v)Reliability models:-  -Reliability is one of the most important factor in quality model but we need to predict and measure reliability of product.  -Reliability indicates probability of failure free operation.  -We have several parametric reliability growth models to increase the reliability of product. For example, Moronda, Littlewood, Littlewood vorall and Non Homogenous poisons process (NHPP) model.  (vi)Performance evaluation and models:-  -Performance is one of the most aspect of quality.  -Performance evaluation includes characteristics such as response time and completion rates.  -Performance evaluation covers internal working  of system including efficiency of complexity of algorithm.  (vii)Structure and complexity :-  -We measure structural attributes of representation of software which are available in advanced of execution.  -These structural attributes are used to predict which part of system are less reliable, more difficult to test or requires more maintenance than others.	7
what is software metrics Explain scope of software metrics in detail	There are many types of software metrics, Software metrics are used to measure the quality of the software.  (i)Cost effort estimation:-  -In the cost effort estimation, we use the models to predict the cost of the project before starting the work of developing the software life cycle.  (ii) Productivity models and measures:-  -There are many measures and models or evaluating the staff productivity at the time of process and common environments.  -The productivity is a function of value and cost; they are later divided into other aspects which can be measured.  (iii)Data collection:-  -The quality of the measurement program depend on how carefully the data is collected. Collecting the data is not an easy task when data to be collected is diverse set of projects.  (iv)Quality models and measures:-  -Quality models like the Bohem’s quality model and MaCall quality model are used with productivity models.  -These Models are constructed in a tree like fashion where the branches on the upper side contain the high level quality factors of the software product such as reliability, usability, user friendliness, etc.  -Each of the quality factor contains the low level criteria such as structure, traceability, etc.  (v)Reliability models:-  -Reliability is one of the most important component of quality model but we need to predict and measure the reliability of the product.  -Reliability shows probability of the failure free operation.  -There are several parameters for growth of the reliability of the models to increase the reliability of the product.  (vi)Performance evaluation and models:-  -The evaluation of the performance includes characteristics such as response time and completion rates.  -The evaluation of the performance covers the internal working of system as well as efficiency of the complexity of the algorithms.  (vii)Structure and complexity:-  -The structural attributes of representation of software are measured which are available in advanced of execution.  -Structure and complexity attributes are used to predict the part of the system which are less reliable, difficult to test or which requires more maintenance than the other parts of the system.	7
what is software metrics Explain scope of software metrics in detail	Software metrics refer to the standard of measure which holds properties of  any software system or processes. It provides the following activities for this purpose-  (i)Productivity models and measures:-  Productivity is a function of the value and cost incurred, both of which can be broken down into measurable forms.  The staff productivity during a software process and in varying environments can be assessed by several measures and models.  (ii)Data collection:-  - data collection is significant when it comes to the quality of any measurement program.  Although, data collection becomes challenging when data is collected across diverse range of projects.  - data collection requires consistent and whole information, planned and executed in a careful and sensitive manner with utmost integrity of research.  - scientific investigation of relationships and trends in society is also heavily dependent on the data collected for accurate results.    (iii)Quality Models and measures:-  -Quality models like Bohems quality model and MaCall quality model, and productivity models can be used together for higher accuracy.  -These models almost always are constructed in a tree-like manner with the upper branches indicating the highest level quality factors of any software product such as reliability, usability, etc.  - every quality factor consists of low level criteria like structure, traceability, etc.  - criteria helps in understanding and measuring the factors.  (iv)Reliability models:-  -Reliability functions as a significant factor is quality model, although it needs to be predicted and measured, therefore creating a specialization in itself in reliability modeling and prediction.  - reliability refers to the probability of failure free operation of any system.  - several parametric reliability growth models exist to influence the reliability of a product.   (v)Performance evaluation and models:-  -Performance evaluation is an integral aspect of quality.  - external system performance factors like response times and completion rates.   - internal factors like working of the efficacy of algorithms.  (vi)Structure and complexity :-  - the structural attributes of representation of software are measured which are available in advance of execution.  - the structural attributes help in prediction of the reliability, the difficulty and the requirement of maintenance of a part of any system.  (vii)Management by metrics:-  - managing a software project requires a vital role of measurement.  - measurement-based charts are highly reliable for customers, users, and developers alike to track the project’s progress.  - several organizations determine a specific set of measurements and reporting methods to compare and contrast the project.  - it helps in making customers understand the project progress better even without any pre requisite knowledge in software terminology or jargon.	7
what is software metrics Explain scope of software metrics in detail	Software metrics refer to the standard of measure which holds properties of  any software system or processes. It provides the following activities for this purpose-  (i)Productivity models and measures:-  Productivity is a function of the value and cost incurred, both of which can be broken down into measurable forms.  The staff productivity during a software process and in varying environments can be assessed by several measures and models.  (ii)Data collection:-  - data collection is significant when it comes to the quality of any measurement program.  Although, data collection becomes challenging when data is collected across diverse range of projects.  - data collection requires consistent and whole information, planned and executed in a careful and sensitive manner with utmost integrity of research.  - scientific investigation of relationships and trends in society is also heavily dependent on the data collected for accurate results.    (iii)Quality Models and measures:-  -Quality models like Bohems quality model and MaCall quality model, and productivity models can be used together for higher accuracy.  -These models almost always are constructed in a tree-like manner with the upper branches indicating the highest level quality factors of any software product such as reliability, usability, etc.  - every quality factor consists of low level criteria like structure, traceability, etc.  - criteria helps in understanding and measuring the factors.  (iv)Reliability models:-  -Reliability functions as a significant factor is quality model, although it needs to be predicted and measured, therefore creating a specialization in itself in reliability modeling and prediction.  - reliability refers to the probability of failure free operation of any system.  - several parametric reliability growth models exist to influence the reliability of a product. Example-  Moronda, Littlewood vorall and Nonhomogeneous poisons process (NHPP)  Model.  (v)Performance evaluation and models:-  -Performance evaluation is an integral aspect of quality.  -Performance evaluation is a detailed observation of various factors, both internal and       external.  - external system performance factors like response times and completion rates.   - internal factors like working of the efficacy of algorithms.  (vi)Structure and complexity :-  - the structural attributes of representation of software are measured which are available in advance of execution.  - the structural attributes help in prediction of the reliability, the difficulty and the requirement of maintenance of a part of any system.  (vii)Evaluation of Methods and tools:-  - new methods and tools are devised by organizations to make products better and cheaper.  - these new methods and tools are tested, experimented and surveyed to decide the potential outcome it will make in the particular situation.  - this evaluation is carried out with good experimental design, appropriate identification of factors which affect outcome and proper measurements of factor attributes.	7
what is software metrics Explain scope of software metrics in detail	A software metric is a measure of software characteristics which are quantifiable or countable. Software metrics are important for many reasons, including measuring software performance, planning work items, measuring productivity, and many other uses.    Within the software development process, there are many metrics that are all related to each other. Software metrics are related to the four functions of management: Planning, Organization, Control, or Improvement.  Benefits of Software Metrics:-  The goal of tracking and analyzing software metrics is to determine the quality of the current product or process, improve that quality and predict the quality once the software development project is complete. On a more granular level, software development managers are trying to:  Increase return on investment (ROI)  Identify areas of improvement  Manage workloads  Reduce overtime  Reduce costs  These goals can be achieved by providing information and clarity throughout the organization about complex software development projects. Metrics are an important component of quality assurance, management, debugging, performance, and estimating costs, and they’re valuable for both developers and development team leaders:  -Managers can use software metrics to identify, prioritize, track and communicate any issues to foster better team productivity. This enables effective management and allows assessment and prioritization of problems within software development projects. The sooner managers can detect software problems, the easier and less-expensive the troubleshooting process.  -Software development teams can use software metrics to communicate the status of software development projects, pinpoint and address issues, and monitor, improve on, and better manage their workflow.  Software metrics offer an assessment of the impact of decisions made during software development projects. This helps managers assess and prioritize objectives and performance goals.	7
what is software metrics Explain scope of software metrics in detail	Software development metrics are quantitative measurements of a software product or project, which can help management understand software performance, quality, or the productivity and efficiency of software teams.  Types of Software Metrics  Formal code metrics—Such as Lines of Code (LOC), code complexity, Instruction Path Length, etc. In modern development environments, these are considered less useful.  Developer productivity metrics—Such as active days, assignment scope, efficiency and code churn. These metrics can help you understand how much time and work developers are investing in a software project.  Agile process metrics—Such as lead time, cycle time and velocity. They measure the progress of a dev team in producing working, shipping-quality software features.  Operational metrics—Such as Mean Time Between Failures (MTBF) and Mean Time to Recover (MTTR). This checks how software is running in production and how effective operations staff are at maintaining it.  Metrics in Agile Software Development  The agile methodology has a unique approach to software development metrics and how to use them effectively. Leon Tranter presents three agile principles for software metrics:  Metrics should be used by the team—They should not be imposed by management, rather they should be useful for the team to assess and improve their own work.  Metrics should be part of a conversation—A metric is just a number, it should be combined into a deeper discussion about process and challenges faced by the team.  Software Development Metrics Examples:-  (i) Customer Satisfaction  A widely used and respected metric for customer satisfaction is Net Promoter Score (NPS). It a number ranging from -100 (indicating no customers refer you to others) to +100 (all customers likely to refer you to others). SurveyMonkey provides the full calculation for NPS and lets you set up a free NPS survey.  (ii) Team Velocity:-  Team Velocity measures the number of story points, quantifying the number and size of product features, completed by the team in the previous sprints. It helps to understand how much value the team is providing to customers in a given time period.  (iii) Release Burndown:-  A Release Burndown chart can help you understand, across an entire software release, how development is progressing, how much of the planned software functionality remains to be done, and when you can expect the release to be completed.	7
Explain meaningfulness in measurement	-“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”  -Measurement captures information about attributes of entities.  Measurement in everyday life:-  -Measurement is used in economics to determine price and pay increases.  -Measurement in weather system are used to predict the weather.  -Measurement in radar system enables us to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  Measurement making the things measurable:-  -Measuring makes nonmeasurable things measurable.  -Measuring the unmeasurable improves our understanding of particular entities and attributes, making engineering more powerful.  Measurement in software engineering:-  -Software engineer describes the collection of techniques that apply on engineering approach to the construction and support of software product.  - Software engineer includes various activities like managing, planning, casting, analyzing, specifying, designing, testing and maintaining.  Measurement is used in all activities, so each activity is understood and controlled.  Neglect of measurement in engineering:-  -We fail to set measurable targets for our software products. For example, in earlier phase we promise that our product will be user-friendly, reliable and maintainable but once project is complete, we can’t tell if we have met our goals.  -We fail to understand and qualify the component cost of software program, we can’t control overall cost of project if we are not measuring the relative cost of components.  -We do not qualify or predict the quality of product we produce, we can’t tell the user of product about reliability of product.  -We allow anecdote evidence to convince us to try yet another revolutionary new development technology, without doing careful controlled study to determine if the technology is efficient or effective.  Objectives of software measurement:-  (i)Manager’s perspective:-  (a)What does each process cost?  (b)How productive is the staff?  (c)How good is the code being with the product?  (d)Will the user be satisfied with the product?  (e)How can we improve?  (ii)Engineer’s perspective:-  (a)Are the requirements testable?  (b)Have the found all the faults?  (c)Have we met our product or process goals?  (d)What will happen in future?	8
Explain meaningfulness in measurement	Measurement is that operation by which we compare a physical quantity with a unit chosen for that quantity. In science and engineering, we perform experiments. During experiments, we have to take readings. Thus all these experiments require some measurements to be made. During the production of mechanical products, we have to measure the parts so as to find whether the part is made as per the specifications. Thus measurements are necessary for production and quality control.  Types of Measurements:  Depending on the method, measurements are classified into two types: a) Direct measurement and b) Indirect measurement  Direct Measurement:  When measurements are taken directly using tools, instruments, or other calibrated measuring devices, they are called direct measurements e.g. Measurement of the length of a table by meter scale.  Indirect Measurement:  When the measurement must be done through a formula or other calculations, the measurement is called indirect measurement e.g. Measurement of the radius of the Earth.  Units of Measurements:  For any measurement, a number and unit are required. When we say that the time is 5 second, then we mean that the said time is 5 times a certain standard time called 1 second.  A unit is a selected magnitude of a physical variable in terms of which other magnitudes of the same variable can be expressed. Measurement without unit has no meaning.	8
Explain meaningfulness in measurement	-“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”  -Measurement captures information about attributes of entities.  Measurement in everyday life:-  -Measurement is used in economics to determine price and pay increases.  -Measurement in weather system are used to predict the weather.  -Measurement in radar system enables us to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  Measurement making the things measurable:-  -Measuring makes nonmeasurable things measurable.  -Measuring the unmeasurable improves our understanding of particular entities and attributes, making engineering more powerful.  Neglect of measurement in engineering:-  -We fail to set measurable targets for our software products. For example, in earlier phase we promise that our product will be user-friendly, reliable and maintainable but once project is complete, we can’t tell if we have met our goals.  -We fail to understand and qualify the component cost of software program, we can’t control overall cost of project if we are not measuring the relative cost of components.  -We do not qualify or predict the quality of product we produce, we can’t tell the user of product about reliability of product.  -We allow anecdote evidence to convince us to try yet another revolutionary new development technology, without doing careful controlled study to determine if the technology is efficient or effective.  Objectives of software measurement:-  (i)Manager’s perspective:-  (a)What does each process cost?  (b)How productive is the staff?  (c)How good is the code being with the product?  (d)Will the user be satisfied with the product?  (e)How can we improve?  (ii)Engineer’s perspective:-  (a)Are the requirements testable?  (b)Have the found all the faults?  (c)Have we met our product or process goals?  (d)What will happen in future?  Measurement for understanding, control and improvement:-  -Measurement help us to understand what is happening during the development or maintenance.  -Measurement allows us to control what is happening on our projects.  -Measurement encourages us to improve our process and products.	8
Explain meaningfulness in measurement	Measurement in everyday life:-  -Measurement is used in economics to determine price of the products in the market.  -Measurement in weather system are used to predict the weather.  -Measurement in radar system enables us to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose and determine what disease a patient is suffering from.  Measurement making the things measurable:-  -Measuring makes not measurable things measurable.  -Measuring the unmeasurable helps to understand the particular entities and attributes, it also helps in making engineering more powerful.  Measurement in software engineering:-  -Software engineer describes the collection of techniques that apply on engineering approach to the construction and support of software product.  - Software engineers have various activities like managing, planning, casting, analyzing, specifying, designing, testing and maintaining.  Measurement is used in all activities, so that we can understand and control the activities.  Neglect of measurement in engineering:-  -The software cannot be measured therefore we fail to set measurable targets for our software products. For example, in earlier phase we promise that our product will be user-friendly, reliable and maintainable but once project is complete, we can’t tell if we have met our goals.  -The qualify of the component cost of software program cannot be understood well by us, therefore the overall cost of the project cannot be controlled by us if we are not measuring the relative cost of components.  -We do not qualify or predict the quality of product we produce, we can’t tell the user of product about reliability of product.  -We allow anecdote evidence to convince us to try yet another revolutionary new development technology, without doing careful controlled study to determine if the technology is efficient or effective.  Objectives of software measurement:-  (i)Manager’s perspective:-  (a)What does each process cost?  (b)How productive is the staff?  (c)How good is the code being with the product?  (ii)Engineer’s perspective:-  (a)Are the requirements testable?  (b)Have the found all the faults?  Measurement for understanding, control and improvement:-  -Measurement help us to understand what is happening during the development or maintenance.	8
Explain meaningfulness in measurement	Scientists use many skills as they investigate the world around them. They make observations by gathering information with their senses. Some observations are simple. For example, a simple observation would be figuring out the color or texture of an object. However, if scientists want to know more about a substance, they may need to take measurements. Measurement is perhaps one of the most fundamental concepts in science. Without the ability to measure, it would be difficult for scientists to conduct experiments or form theories. Not only is measurement important in science and the chemical industry, it is also essential in farming, engineering, construction, manufacturing, commerce, and numerous other occupations and activities. The word “measurement” comes from the Greek word “metron,” which means “limited proportion.” Measurement is a technique in which properties of an object are determined by comparing them to a standard. Measurements require tools and provide scientists with a quantity. A quantity describes how much of something there is or how many there are. A good example of measurement is using a ruler to find the length of an object. The object is whatever you are measuring, the property you are trying to determine is the object’s length, and the standard you are comparing the object’s length to is the ruler.  Measurement in everyday life:-  -Measurement is used in economics to determine price and pay increases.  -Measurement in radar system enables to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  Units of Measurements:  For any measurement, a number and unit are required. When we say that the time is 5 second, then we mean that the said time is 5 times a certain standard time called 1 second.  A unit is a selected magnitude of a physical variable in terms of which other magnitudes of the same variable can be expressed. Measurement without unit has no meaning.  Types of Measurements:  Depending on the method, measurements are classified into two types: a) Direct measurement and b) Indirect measurement	8
Explain meaningfulness in measurement	Measurement is the assignment of a number to a characteristic of an object or event, which can be compared with other objects or events. The scope and application of measurement are dependent on the context and discipline.  -Cooking properly. Cooking of all forms is based on proper attention to measurement. Can you bake a chicken at 600 degrees? Well, you can but the results would be pretty catastrophic! Could you may a cup of tea by dipping a tea bag into a teaspoon of warm water?  -Purchasing clothes. Now, how important could measurements be when selecting clothes? After all, to look good in clothing the main thing you need to pay attention to is style, right? Well, if you weigh 200lbs you aren't going to look stylish in an extra small shirt. Clothing is all based on size and proper fitting which are, of course, variants of measurement.  -Playing sports. The importance of measurements may not necessarily reveal itself when you play sports but it is there in a big way. If you want to throw a runner out at first or make a 30 yard touchdown pass then you really need to be accurate and comes from a clear sense of depth and distance.  -Making estimations. If you have to be at school at 9am what time would you have to leave in the morning if you are at your friend's house. Often we do not have an exact answer so we need to make an estimation which is essentially a guess of measurement.  -Keeping yourself warm or cool. If the temperature outside dips or increases you have to make an adjustment on your thermostat in order to remain at a safe and healthy temperature. Understanding the measurement scale of a thermostat is critical in this regard or else you may find yourself feeling rather uncomfortable.  -Understanding weight. Is that object too heavy to pick up by yourself or do you need to use something to lift it? Some may think this is not important but it is pretty easy to hurt yourself if you lift objects that are too heavy.  -Proper use of capacity. Just how many clothes can you fit in a dresser or closet without it becoming too crammed? Without a clear concept of capacity you might find yourself pouring an entire half gallon of orange juice into a small glass.  -Telling time. The ability to tell time is all based on measurement principles. Whether you are using a digital clock or an hourglass these devices measure the passage of time. Now, imagine how chaotic the world would be if was impossible to measure the passage of time.	8
Explain the objectives for software measurement with the perspective of manager and engineer	-“Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way to describe then according to clearly defined rules.”  -Measurement captures information about attributes of entities.  -Entity is an object (such as person or room) or events (such as journey or testing phase of software) in the real world.  -An attribute is a feature or property of an entity (such as color of room, the cost of journey or elapsed time of testing phase).  -In general there are two kinds of qualification:-  (i)Measurement is a direct qualification  (ii) Calculation is indirect qualification, where we take measurement attribute whose value we are trying to understand.  -Measurement is used in economics to determine price and pay increases.  -Measurement in radar system enables to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  -In such a way the products quality is measured and is priced according to it.  -software engineering describes the collection of techniques that apply an engineering approach to the construction and support of software product.  -Software engineering includes various activities like managing, planning, costing, analyzing, specifying, designing, testing and maintenance.  -Measurement is used in all above activities, so each activity is understood and controlled.  -Measurement help us to understand what is happening during development or maintenance.  -Measurement allow us to control what is happening on our projects.  -Measurement encourages us to improve our processes and products.	8
Explain the objectives for software measurement with the perspective of manager and engineer	Do you find development planning or improvement efforts to be less effective than expected? Are unexpected problems surfacing after release or during development? How many infrastructure problems are directly related to code quality or undetected risks? Software measurement is an engineering process meant to aid in assessing these areas:  Productivity  Code Quality  Code Complexity  Software Risk  Technical Debt  Software Size  Compliance to Standards and Regulations  If your developers are not producing high-quality code or not meeting architecture standards, then numerous problems are likely to surface during or after application implementation. These include increased IT costs, additional maintenance efforts, and reduced security within a complex infrastructure. Software measurement and metrics provide an accurate, objective approach to evaluating these key factors. By having objective metrics, you can more easily identify improvement areas and monitor each effort made toward better development practices.  Software Measurement Function Points:-  Several forms of analysis may be used to assess an application; however, software measurement function points provide a repeatable evaluation method. A function point represents a defined business task to be accomplished by an application. They are based on identified end user requirements and allow organizations to obtain a benchmarking score for continuously monitoring the above items. Each application must accomplish a set number of business functions, which can be automatically evaluated to aid in achieving:  Vulnerability Detection  Quality Assessments  Productivity Enhancements  Compliance Management  Development Practice Improvements  Additionally, software measurement function points offer insight for locating difficult to find vulnerabilities in a complex infrastructure where problems often exist in one or more tiers. The provided benchmarking measurement can also be used to ensure developers and outside providers are meeting defined architecture standards for each completed application. If your organization is not using software measurement to track and monitor these items, then various infrastructure problems might be a direct result of source code inefficiencies.  Objectives for software measurement:-  (i)Managers perspective:  a)What does each process cast?  b)How productive is the staff?  c)How good is code being developed?  d)Will the users be satisfied with the product?  e)How can we improve?  (ii)Engineers perspective:  a)Are the requirements testable?  b)Have we found all the faults?  c)Have we met our products or process goals?  d)What will happen in future?	8
Explain the objectives for software measurement with the perspective of manager and engineer	-Measurement captures information about attributes of entities.  -Entity is an object (such as person or room) or events (such as journey or testing phase of software) in the real world.  -An attribute is a feature or property of an entity (such as color of room, the cost of journey or elapsed time of testing phase).  -In general there are two kinds of qualification:-  (i)Measurement is a direct qualification  (ii) Calculation is indirect qualification, where we take measurement attribute whose value we are trying to understand.  -Measurement is used in economics to determine price and pay increases.  -Measurement in radar system enables to detect aircraft.  -Measurement is also used in medical system to help the doctors to diagnose specific disease.  -In such a way the products quality is measured and is priced according to it.  -software engineering describes the collection of techniques that apply an engineering approach to the construction and support of software product.  -Measurement is used in all above activities, so each activity is understood and controlled.  Objectives for software measurement:-  (i)Managers perspective:  a)What does each process cast?  b)How productive is the staff?  c)How good is code being developed?  d)Will the users be satisfied with the product?  (ii)Engineers perspective:  a)Are the requirements testable?  b)Have we found all the faults?  c)Have we met our products or process goals?  d)What will happen in future?	8
Explain the objectives for software measurement with the perspective of manager and engineer	With the help of measurement we can get the information about attributes of entities.  -Entity is an objects like as person or room or even events such as journey or testing phase of software in the real world.  -An attribute is a feature, quality or property of an entity such as color of room, the cost of journey or elapsed time of testing phase.  -In general there are two kinds of qualification:-  (i)Measurement is a direct qualification.  (ii) Calculation is indirect qualification, where we take measurement attribute whose value we are trying to understand.  -Measurement is also used in economics to determine prices of the products in the market.  -Measurement in radar system enables to detect aircraft as well as the submarines in water.  -Measurement is also used in the hospitals to help the doctors to  specify the disease the patient is suffering from.  -In such a way the products quality is measured and is priced according to it.  -Software engineering define the collection of techniques that apply an engineering approach to construct and support the software product.  -Software engineering includes various activities like managing, planning, costing, analyzing, specifying, designing, testing and maintenance.  -Measurement in software is used in all above activities, so each activity is understood and controlled.  Objectives for software measurement:-  (i)Managers perspective:  a)What does each process cast?  b)How productive is the staff?  c)How good is code being developed?  (ii)Engineers perspective:  a)Are the requirements testable?  b)Have we found all the faults?  c)Have we met our products or process goals?  -Measurement allow us to control what is happening on our projects.  -Measurement encourages us to improve our processes and products.	8
Explain the objectives for software measurement with the perspective of manager and engineer	Software Metrics is a collective term used to describe the very wide range of activities concerned with measurement in software engineering  Measurement is the process by which numbers or symbols are assigned to attributes of entities in the real world in such a way as to describe them according to clearly defined unambiguous rules.  Once measures are collected they are converted into metrics for use. IEEE defines metric as 'a quantitative measure of the degree to which a system, component, or process possesses a given attribute.' The goal of software metrics is to identify and control essential parameters that affect software development. Other objectives of using software metrics are listed below:  -Measuring the size of the software quantitatively.  -Assessing the level of complexity involved.  -Assessing the strength of the module by measuring coupling.  -Assessing the testing techniques.  -Specifying when to stop testing.  -Determining the date of release of the software.  -Estimating cost of resources and project schedule.  Software metrics help project managers to gain an insight into the efficiency of the software process, project, and product. This is possible by collecting quality and productivity data and then analyzing and comparing these data with past averages in order to know whether quality improvements have occurred. Also, when metrics are applied in a consistent manner, it helps in project planning and project management activity. For example, schedule-based resource allocation can be effectively enhanced with the help of metrics.  Objectives for software measurement:-  (i)Managers perspective:  a)What does each process cast?  b)How productive is the staff?  c)How good is code being developed?  (ii)Engineers perspective:  a)Are the requirements testable?  b)Have we found all the faults?  c)Have we met our products or process goals?	8
Explain the objectives for software measurement with the perspective of manager and engineer	The framework for software measurement is based on four principles −  Classifying the entities to be examined  Determining relevant measurement goals  Identifying the level of maturity that the organization has reached  Classifying the Entities to be Examined  In software engineering, mainly three classes of entities exist. They are −  Processes  Products  Resources  respect to its relation with the environment. For example: The total number of failures experienced by a user, the length of time it takes to search the database and retrieve information.  The different attributes that can be measured for each of the entities are as follows −  Processes  Processes are collections of software-related activities. Following are some of the internal attributes that can be measured directly for a process   The duration of the process or one of its activities  The effort associated with the process or one of its activities  The number of incidents of a specified type arising during the process or one of its activities  The different external attributes of a process are cost, controllability, effectiveness, quality and stability.  Products  Products are not only the items that the management is committed to deliver but also any artifact or document produced during the software life cycle.  The different internal product attributes are size, effort, cost, specification, length, functionality, modularity, reuse, redundancy, and syntactic correctness. Among these size, effort, and cost are relatively easy to measure than the others.  The different external product attributes are usability, integrity, efficiency, testability, reusability, portability, and interoperability. These attributes describe not only the code but also the other documents that support the development effort.  Resources  These are entities required by a process activity. It can be any input for the software production. It includes personnel, materials, tools and methods.  The different internal attributes for the resources are age, price, size, speed, memory size, temperature, etc. The different external attributes are productivity, experience, quality, usability, reliability, comfort etc.  Determining Relevant Measurement Goals  A particular measurement will be useful only if it helps to understand the process or one of its resultant products. The improvement in the process or products can be performed only when the project has clearly defined goals for processes and products. A clear understanding of goals can be used to generate suggested metrics for a given project in the context of a process maturity framework.  Objectives for software measurement:-  (i)Managers perspective:  a)What does each process cast?  b)How productive is the staff?  (ii)Engineers perspective:  a)Are the requirements testable?  b)Have we found all the faults?  c)Have we met our products or process goals?    d)What will happen in future?	8
What is representational theory of measurement Explain in detail	There are many representational theory for measurement, some of them are as given below  (i)Empirical relation:-There are three types of Empirical relation depending upon the relation we define either on single element (entity) of a set or on collection of elements.  (a)Unary relation:-We define Empirical relation on individual (single) element or entity.  (b)Binary relation:-We define Empirical relation between exactly two entities.  (c)Ternary relation:- We define relation between more than two entities.  (ii)Rules of mapping:-  -Real world is the domain of mapping and mathematical world is range of mapping.  -When we have map the attribute of entity from real world to mathematical world, we have many choices for mapping and range.  -Mapping may be different depending upon conventions we adopt.  -Measures must specify domain, range as well as rules of mapping.  (iii)Representation condition of measurement:-  -Representation condition states that a measurement mapping M must map entities into numbers and Empirical relations into numerical relation (mathematical relation) in such a way that Empirical relations are preserved and are preserved by mathematical relations.	8
What is representational theory of measurement Explain in detail	Measurement tells us the rules laying the ground work for developing and reasoning about all kinds of measurement. It is the mapping from the empirical world to the formal relational world. Consequently, a measure is the number or symbol assigned to an entity by this mapping in order to characterize an entity.  Empirical Relations:-  In the real world, we understand the things by comparing them, not by assigning numbers to them.  For example, to compare height, we use the terms ‘taller than’, higher than’. Thus, these ‘taller than’, higher than’ are empirical relations for height.  We can define more than one empirical relation on the same set.  For example, X is taller than Y. X, Y are much taller than Z.  Empirical relations can be unary, binary, ternary, etc.  X is tall, Y is not tall are unary relations.  X is taller than Y is a binary relation.  Empirical relations in the real world can be mapped to a formal mathematical world. Mostly these relations reflect the personal preferences.  The Representational Condition of Measurement:-  The representational condition asserts that a measurement mapping (M) must map entities into numbers, and empirical relations into numerical relations in such a way that the empirical relations preserve and are preserved by numerical relations.  For example: The empirical relation ‘taller than’ is mapped to the numerical relation ‘>’.i.e., X is taller than Y, if and only if M(X) > M(Y)  Since, there can be many relations on a given set, the representational condition also has implications for each of these relations.  For the unary relation ‘is tall’, we might have the numerical relation  X > 50  The representational condition requires that for any measure M,  X is tall if and only if M(X) > 50.	8
